1,10000,110152,0.347325,11,1
1,10000,110152,0.349141,11,1
2,10000,110152,0.243049,11,1
2,10000,110152,0.252093,11,1
4,10000,110152,0.152008,11,1
4,10000,110152,0.151738,11,1
8,10000,110152,0.107911,11,1
8,10000,110152,0.107942,11,1
1,10000,511034,0.362914,9,1
1,10000,511034,0.361600,9,1
2,10000,511034,0.214130,9,1
2,10000,511034,0.213909,9,1
4,10000,511034,0.143477,9,1
4,10000,511034,0.143017,9,1
8,10000,511034,0.103384,9,1
8,10000,511034,0.105367,9,1
1,10000,1015308,0.452010,9,1
1,10000,1015308,0.453746,9,1
2,10000,1015308,0.284135,9,1
2,10000,1015308,0.287540,9,1
2,10000,1015308,0.291847,9,1
4,10000,1015308,0.168491,9,1
4,10000,1015308,0.168086,9,1
8,10000,1015308,0.114709,9,1
8,10000,1015308,0.114734,9,1
1,1000,2000,0.033547,11,1
1,1000,2000,0.033579,11,1
2,1000,2000,0.020092,11,1
2,1000,2000,0.019366,11,1
4,1000,2000,0.015340,11,1
4,1000,2000,0.015396,11,1
8,1000,2000,0.015236,11,1
8,1000,2000,0.015206,11,1
1,1000,6032,0.028833,9,1
1,1000,6032,0.028780,9,1
2,1000,6032,0.021413,9,1
2,1000,6032,0.021330,9,1
4,1000,6032,0.015702,9,1
4,1000,6032,0.015759,9,1
8,1000,6032,0.015099,9,1
8,1000,6032,0.015058,9,1
1,10000,10536950,2.087003,9,1
2,10000,10536950,1.155115,9,1
4,10000,10536950,0.649009,9,1
8,10000,10536950,0.349206,9,1
1,1000,11044,0.026642,8,1
1,1000,11044,0.026836,8,1
2,1000,11044,0.020278,8,1
2,1000,11044,0.020209,8,1
4,1000,11044,0.014935,8,1
4,1000,11044,0.015335,8,1
8,1000,11044,0.015059,8,1
8,1000,11044,0.015349,8,1
1,20000,420412,0.624919,9,1
1,20000,420412,0.628536,9,1
2,20000,420412,0.417771,9,1
2,20000,420412,0.417944,9,1
4,20000,420412,0.266299,9,1
4,20000,420412,0.267472,9,1
8,20000,420412,0.182396,9,1
8,20000,420412,0.186638,9,1
1,20000,2024134,0.841916,8,1
1,20000,2024134,0.842298,8,1
2,20000,2024134,0.500695,8,1
2,20000,2024134,0.501245,8,1
4,20000,2024134,0.307504,8,1
4,20000,2024134,0.308128,8,1
8,20000,2024134,0.194592,8,1
8,20000,2024134,0.193161,8,1
1,20000,4041652,1.207243,8,1
1,20000,4041652,1.203927,8,1
2,20000,4041652,0.674647,8,1
2,20000,4041652,0.685089,8,1
4,20000,4041652,0.412466,8,1
4,20000,4041652,0.418957,8,1
8,20000,4041652,0.244370,8,1
8,20000,4041652,0.237527,8,1
1,2000,5966,0.066707,11,1
1,2000,5966,0.066789,11,1
2,2000,5966,0.043395,11,1
2,2000,5966,0.043373,11,1
4,2000,5966,0.027337,11,1
4,2000,5966,0.026338,11,1
8,2000,5966,0.022683,11,1
8,2000,5966,0.022648,11,1
1,2000,22030,0.058424,9,1
1,2000,22030,0.058367,9,1
2,2000,22030,0.041999,9,1
2,2000,22030,0.043971,9,1
4,2000,22030,0.028979,9,1
4,2000,22030,0.029180,9,1
8,2000,22030,0.025181,9,1
8,2000,22030,0.024605,9,1
1,2000,42228,0.061681,9,1
1,2000,42228,0.061850,9,1
2,2000,42228,0.043274,9,1
2,2000,42228,0.043248,9,1
4,2000,42228,0.031009,9,1
4,2000,42228,0.031093,9,1
8,2000,42228,0.025824,9,1
8,2000,42228,0.025900,9,1
1,5000,29914,0.194404,13,1
1,5000,29914,0.194938,13,1
2,5000,29914,0.134617,13,1
2,5000,29914,0.134249,13,1
4,5000,29914,0.082719,13,1
4,5000,29914,0.081733,13,1
8,5000,29914,0.056399,13,1
8,5000,29914,0.055832,13,1
1,5000,130212,0.172748,10,1
1,5000,130212,0.173317,10,1
2,5000,130212,0.118581,10,1
2,5000,130212,0.118182,10,1
4,5000,130212,0.078131,10,1
4,5000,130212,0.078305,10,1
8,5000,130212,0.056744,10,1
8,5000,130212,0.058091,10,1
1,5000,256504,0.178667,9,1
1,5000,256504,0.178530,9,1
2,5000,256504,0.109357,9,1
2,5000,256504,0.109136,9,1
4,5000,256504,0.067462,9,1
4,5000,256504,0.065984,9,1
8,5000,256504,0.054471,9,1
8,5000,256504,0.053474,9,1
1,5000,16668124,2.924292,9,1
2,5000,16668124,1.487773,9,1
4,5000,16668124,0.808420,9,1
8,5000,16668124,0.448815,9,1
